price,longCountPercent,shortCountPercent
99.6,0.0034,0
99.85,0,0.0034
99.95,0.0034,0.0034
100,0.0034,0
100.15,0.0235,0.0034
100.2,0.0034,0
100.25,0.0067,0.0101
100.3,0.0168,0
100.35,0.0134,0.0067
100.4,0.0202,0
100.45,0.0202,0.0067
100.5,0.0067,0.0034
100.55,0.0202,0.0235
100.6,0.0101,0.0134
100.65,0.0134,0
100.7,0.0336,0.0168
100.75,0.0202,0.0067
100.8,0.0067,0.0067
100.85,0.0067,0
100.9,0,0.0034
100.95,0.0067,0.0168
101,0.0034,0.0235
101.05,0.0235,0.0034
101.1,0.0202,0.0034
101.15,0.0034,0.0067
101.2,0.0235,0.0067
101.25,0.0067,0.0034
101.3,0.0269,0.0067
101.35,0.0067,0.0101
101.4,0.0101,0.0101
101.45,0.0101,0.0034
101.5,0.0067,0.0067
101.55,0.0202,0.0101
101.6,0.0134,0.0034
101.65,0.0101,0.0134
101.7,0.0067,0.0067
101.75,0.0101,0.0034
101.8,0,0.0067
101.85,0.0101,0
101.9,0.0202,0.0034
101.95,0.0134,0.0101
102,0.0202,0
102.05,0.0302,0.0101
102.1,0.0101,0.0202
102.15,0.0235,0.0067
102.2,0.0168,0.0134
102.25,0.0336,0.0101
102.3,0.0269,0.0168
102.35,0.0336,0.0168
102.4,0.0202,0.0101
102.45,0.0336,0.0134
102.5,0.0202,0.0168
102.55,0.0168,0.0235
102.6,0.0202,0.0807
102.65,0.0504,0.0403
102.7,0.0336,0.0504
102.75,0.0706,0.0672
102.8,0.1008,0.0571
102.85,0.0437,0.0504
102.9,0.0739,0.0739
102.95,0.0639,0.0907
103,0.0706,0.1109
103.05,0.1008,0.1075
103.1,0.1344,0.0941
103.15,0.1815,0.1008
103.2,0.1613,0.1008
103.25,0.1075,0.1479
103.3,0.1613,0.1748
103.35,0.1949,0.121
103.4,0.1445,0.1378
103.45,0.1277,0.121
103.5,0.1546,0.1613
103.55,0.1848,0.1781
103.6,0.1176,0.2487
103.65,0.2756,0.2352
103.7,0.1378,0.1882
103.75,0.1647,0.2184
103.8,0.447,0.5814
103.85,0.4167,0.4234
103.9,0.4571,0.3159
103.95,0.5747,0.3058
104,0.3865,0.1815
104.05,0.1748,0.1277
104.1,0.2352,0.1311
104.15,0.0975,0.121
104.2,0.1344,0.0975
104.25,0.2184,0.1008
104.3,0.158,0.158
104.35,0.1479,0.0874
104.4,0.1378,0.1075
104.45,0.2151,0.1042
104.5,0.2722,0.1277
104.55,0.2218,0.1277
104.6,0.1075,0.0907
104.65,0.1781,0.158
104.7,0.205,0.1344
104.75,0.1613,0.0807
104.8,0.1445,0.0739
104.85,0.1748,0.0773
104.9,0.0975,0.0807
104.95,0.121,0.0907
105,0.1075,0.0773
105.05,0.158,0.1311
105.1,0.1781,0.0874
105.15,0.1042,0.0941
105.2,0.0907,0.0739
105.25,0.2016,0.1613
105.3,0.2218,0.205
105.35,0.2352,0.1815
105.4,0.3562,0.2184
105.45,0.326,0.1916
105.5,0.2823,0.1949
105.55,0.3025,0.1916
105.6,0.242,0.1848
105.65,0.2487,0.242
105.7,0.2084,0.1311
105.75,0.1882,0.1647
105.8,0.2151,0.1815
105.85,0.2957,0.158
105.9,0.3193,0.2117
105.95,0.363,0.2957
106,0.3529,0.1916
106.05,0.2924,0.1983
106.1,0.2924,0.1748
106.15,0.363,0.2218
106.2,0.3495,0.2117
106.25,0.2823,0.1512
106.3,0.242,0.1512
106.35,0.1949,0.1311
106.4,0.205,0.1512
106.45,0.1916,0.1445
106.5,0.2655,0.2084
106.55,0.289,0.1882
106.6,0.242,0.1546
106.65,0.1983,0.1748
106.7,0.1916,0.1479
106.75,0.2588,0.1613
106.8,0.3361,0.326
106.85,0.3898,0.3025
106.9,0.4638,0.2924
106.95,0.4369,0.2218
107,0.2621,0.2117
107.05,0.3125,0.2252
107.1,0.3764,0.3529
107.15,0.447,0.3596
107.2,0.4604,0.3596
107.25,0.5948,0.326
107.3,0.4335,0.3226
107.35,0.5343,0.3125
107.4,0.4134,0.3092
107.45,0.3562,0.3529
107.5,0.3865,0.3361
107.55,0.4066,0.2957
107.6,0.4436,0.2756
107.65,0.4772,0.3898
107.7,0.7192,0.3865
107.75,0.4638,0.2957
107.8,0.3461,0.2184
107.85,0.3092,0.2252
107.9,0.2319,0.2084
107.95,0.2689,0.1714
108,0.205,0.205
108.05,0.2621,0.1748
108.1,0.2184,0.1512
108.15,0.289,0.1748
108.2,0.2554,0.1748
108.25,0.1916,0.1512
108.3,0.2722,0.2386
108.35,0.3159,0.2689
108.4,0.4066,0.242
108.45,0.3898,0.2621
108.5,0.326,0.2319
108.55,0.4302,0.2924
108.6,0.3898,0.3495
108.65,0.4671,0.3361
108.7,0.4167,0.2016
108.75,0.2521,0.1714
108.8,0.3663,0.2218
108.85,0.3529,0.2151
108.9,0.3025,0.2352
108.95,0.3394,0.2521
109,0.1781,0.2117
109.05,0.2823,0.2084
109.1,0.2554,0.1714
109.15,0.2957,0.2016
109.2,0.3092,0.1546
109.25,0.2621,0.1748
109.3,0.2991,0.205
109.35,0.3327,0.242
109.4,0.2991,0.1815
109.45,0.3428,0.242
109.5,0.3159,0.289
109.55,0.3831,0.2554
109.6,0.2857,0.2184
109.65,0.3865,0.2352
109.7,0.3125,0.205
109.75,0.3058,0.205
109.8,0.3293,0.2285
109.85,0.2957,0.2184
109.9,0.2991,0.2386
109.95,0.3159,0.2252
110,0.2151,0.1546
110.05,0.1714,0.1848
110.1,0.168,0.1311
110.15,0.3394,0.1411
110.2,0.1781,0.0874
110.25,0.1344,0.0941
110.3,0.1479,0.0874
110.35,0.242,0.1445
110.4,0.205,0.121
110.45,0.2285,0.1949
110.5,0.2319,0.1378
110.55,0.2789,0.2084
110.6,0.326,0.1815
110.65,0.2521,0.1445
110.7,0.242,0.1479
110.75,0.2756,0.1647
110.8,0.2924,0.1479
110.85,0.2655,0.1546
110.9,0.2117,0.158
110.95,0.2655,0.1512
111,0.2184,0.158
111.05,0.2117,0.1781
111.1,0.3092,0.158
111.15,0.2722,0.1748
111.2,0.2689,0.205
111.25,0.2722,0.1378
111.3,0.3394,0.1613
111.35,0.3562,0.168
111.4,0.3025,0.1949
111.45,0.3361,0.1781
111.5,0.2319,0.1479
111.55,0.2554,0.1176
111.6,0.2621,0.1277
111.65,0.2084,0.1445
111.7,0.1815,0.1378
111.75,0.1411,0.1277
111.8,0.1748,0.1277
111.85,0.1949,0.1613
111.9,0.3125,0.1546
111.95,0.2386,0.1781
112,0.2084,0.1344
112.05,0.1176,0.1042
112.1,0.1344,0.121
112.15,0.1546,0.1075
112.2,0.1748,0.0975
112.25,0.1176,0.1176
112.3,0.2319,0.1311
112.35,0.1983,0.0907
112.4,0.1714,0.121
112.45,0.2117,0.1714
112.5,0.1714,0.0975
112.55,0.205,0.1546
112.6,0.2084,0.1445
112.65,0.2352,0.1815
112.7,0.2117,0.1411
112.75,0.1983,0.1008
112.8,0.242,0.2184
112.85,0.1916,0.1075
112.9,0.1512,0.121
112.95,0.1949,0.084
113,0.1378,0.0975
113.05,0.1512,0.0941
113.1,0.1613,0.0706
113.15,0.1815,0.1311
113.2,0.1983,0.1042
113.25,0.1714,0.0874
113.3,0.1445,0.1546
113.35,0.2151,0.1714
113.4,0.2151,0.1378
113.45,0.1781,0.0874
113.5,0.1546,0.0874
113.55,0.2386,0.0739
113.6,0.1411,0.0941
113.65,0.1445,0.084
113.7,0.1109,0.0907
113.75,0.1143,0.0807
113.8,0.1344,0.0672
113.85,0.158,0.0874
113.9,0.1479,0.1008
113.95,0.1075,0.0773
114,0.1042,0.0639
114.05,0.084,0.0504
114.1,0.084,0.037
114.15,0.0807,0.0538
114.2,0.0605,0.0134
114.25,0.0403,0.0101
114.3,0.0706,0.0336
114.35,0.0605,0.037
114.4,0.0437,0.0403
114.45,0.047,0.0202
114.5,0.037,0.0168
114.55,0.0336,0.0202
114.6,0.0336,0.0269
114.65,0.0504,0.0302
114.7,0.037,0.0168
114.75,0.0202,0.0067
114.8,0.0672,0.0168
114.85,0.047,0.0168
114.9,0.0302,0.0134
114.95,0.0202,0.0134
115,0.0134,0.0067
115.05,0.0235,0.0067
115.1,0.0336,0.0067
115.15,0.0302,0.0067
115.2,0.0168,0
115.25,0.0168,0.0067
115.3,0.0168,0.0202
115.35,0.0202,0.0134
115.4,0.0168,0.0034
115.45,0.0202,0
115.5,0.0034,0.0034
115.55,0.0101,0.0034
115.6,0.0034,0
115.65,0.0067,0.0067
115.75,0.0101,0.0101
115.8,0.0067,0.0101
115.85,0.0034,0.0034
115.9,0.0067,0
115.95,0.0101,0.0067
116,0.0034,0
116.05,0.0134,0.0034
116.1,0,0.0034
116.15,0,0.0034
116.2,0.0034,0
116.25,0.0067,0
116.3,0,0.0034
116.35,0.0034,0
116.4,0,0.0034
116.45,0.0101,0
116.5,0.0034,0.0034
116.55,0.0134,0
116.6,0.0067,0.0067
116.65,0.0168,0.0067
116.7,0,0.0034
116.75,0.0067,0.0034
116.8,0.0034,0.0067
116.85,0.0134,0.0067
116.95,0.0067,0.0101
117,0.0034,0
117.05,0.0134,0
117.1,0.0101,0.0034
117.15,0.0134,0.0067
117.2,0.0202,0.0101
117.25,0.0134,0
117.3,0.0101,0.0101
117.35,0.0134,0.0168
117.4,0.0168,0.0034
117.45,0.0269,0
117.5,0.0269,0.0101
117.55,0.0067,0.0101
117.6,0.0302,0.0034
117.65,0.0168,0.0034
117.7,0.0134,0.0134
117.75,0.0067,0
117.8,0.0134,0.0101
117.85,0.0101,0.0067
117.9,0.0034,0.0101
117.95,0,0.0067
118,0.0134,0
118.05,0.0034,0.0101
118.1,0.0168,0
118.15,0.0101,0.0101
118.2,0.0034,0.0067
118.25,0.0134,0.0067
118.3,0.0101,0.0034
118.4,0.0034,0
118.45,0.0034,0
118.55,0,0.0034
118.6,0.0034,0
118.65,0,0.0034
118.7,0.0034,0
118.75,0.0034,0.0067
118.8,0.0067,0
119,0.0034,0
119.05,0.0067,0
119.1,0.0101,0.0134
119.2,0.0034,0
119.35,0.0034,0
119.6,0.0034,0
119.7,0,0.0034
119.85,0,0.0034
120.1,0.0034,0
120.15,0.0034,0
120.25,0.0067,0
120.3,0,0.0034
120.35,0,0.0034
120.4,0.0067,0
120.45,0,0.0034
120.5,0.0034,0.0034
120.55,0.0034,0
120.7,0.0034,0
120.75,0,0.0034
120.8,0.0034,0.0034
120.9,0.0034,0
121,0.0034,0.0067
121.05,0,0.0101
121.1,0.0034,0
121.2,0.0034,0.0034
121.25,0.0101,0
121.3,0,0.0034
121.35,0.0034,0
121.65,0,0.0034
121.7,0.0034,0
121.8,0.0034,0
121.95,0.0034,0
122.05,0.0034,0
122.4,0,0.0067
122.45,0.0034,0
122.6,0.0034,0
122.7,0.0034,0
122.75,0.0034,0.0067
122.8,0.0067,0
122.85,0,0.0101
122.9,0.0034,0.0067
122.95,0,0.0067
123,0.0034,0
123.1,0.0034,0.0034
123.15,0.0067,0.0034
123.2,0.0034,0.0034
123.25,0.0034,0.0034
123.35,0.0034,0
123.4,0.0034,0.0067
