time,open,high,low,close,open-closeÇÃç∑,"open ,highÇÃç∑Ç™0.010à»è„",,"open ,lowÇÃç∑Ç™0.010à»è„",,"open ,highÇÃç∑Ç™0.009à»è„",,"open ,lowÇÃç∑Ç™0.009à»è„",,"open ,highÇÃç∑Ç™0.008 à»è„",,"open ,lowÇÃç∑Ç™0.008 à»è„",,"open ,highÇÃç∑Ç™0.007à»è„",,"open ,lowÇÃç∑Ç™0.007à»è„",,Volume,Volume MA,"open ,highÇÃç∑Ç™0.006à»è„",,"open ,lowÇÃç∑Ç™0.006à»è„",,"open ,highÇÃç∑Ç™0.005à»è„",,"open ,lowÇÃç∑Ç™0.005à»è„",,"open ,highÇÃç∑Ç™0.004à»è„",,"open ,lowÇÃç∑Ç™0.004à»è„",,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI,Plot,Plot,Oscillator,ATR,,CCI,Fisher,Trigger,Plot,MACD,Signal Line,Histogram,Cross
2021-03-23T12:30:00Z,108.53,108.586,108.53,108.564,0.034,1,FALSE,0,0.037,1,FALSE,0,0.037,1,FALSE,0,0.037,1,FALSE,0,0.037,668,1089.05,1,FALSE,0,0.037,1,FALSE,0,0.037,1,FALSE,0,0.037,NaN,NaN,NaN,668,1089.05,42.63311849,-0.138006071,0,53.54566789,0.063680758,0.191042273,-34.49290718,0.184002832,-0.345152215,0.801643836,-0.05490898,-0.061466892,0.006557912,NaN
2021-03-23T12:45:00Z,108.564,108.586,108.54,108.566,0.002,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,851,1103.5,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,851,1103.5,42.91404353,-0.124664286,0,52.17815806,0.062417846,0.187253539,-28.99637545,0.711059785,0.184002832,0.801643836,-0.050829571,-0.060600363,0.009770792,NaN
2021-03-23T13:00:00Z,108.566,108.626,108.548,108.554,-0.012,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1051,1118.85,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1051,1118.85,41.59780217,-0.1122925,0,44.43551276,0.063530857,0.190592572,-32.32323232,1.220513175,0.711059785,0.801643836,-0.048011464,-0.058769951,0.010758487,NaN
2021-03-23T13:15:00Z,108.554,108.622,108.554,108.618,0.064,1,FALSE,0,0.067,1,FALSE,0,0.067,1,FALSE,0,0.067,1,FALSE,0,0.067,900,1125.8,1,FALSE,0,0.067,1,FALSE,0,0.067,1,FALSE,0,0.067,NaN,NaN,NaN,900,1125.8,50.34523193,-0.086373571,0,52.62859429,0.063850082,0.191550246,17.45356903,1.703907804,1.220513175,0.801643836,-0.040150993,-0.055797495,0.015646502,NaN
2021-03-23T13:30:00Z,108.618,108.623,108.566,108.58,-0.038,0,-0.041,1,FALSE,0,-0.041,1,FALSE,0,-0.041,1,FALSE,0,-0.041,1,FALSE,1157,1148.35,0,-0.041,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1157,1148.35,45.94497904,-0.064017143,0,50.44216695,0.06336079,0.190082371,-3.670686943,2.164025435,1.703907804,0.520844327,-0.036566283,-0.052815052,0.016248769,NaN
2021-03-23T13:45:00Z,108.58,108.654,108.572,108.634,0.054,1,FALSE,0,0.057,1,FALSE,0,0.057,1,FALSE,0,0.057,1,FALSE,1,FALSE,1161,1179.95,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1161,1179.95,52.32218549,-0.033665357,0,52.14435325,0.064692162,0.194076487,54.65765501,2.606144974,2.164025435,0.508825013,-0.029033347,-0.049069915,0.020036568,NaN
2021-03-23T14:00:00Z,108.634,108.708,108.628,108.676,0.042,1,FALSE,0,0.045,1,FALSE,0,0.045,1,FALSE,0,0.045,1,FALSE,0,0.045,1540,1232.4,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1540,1232.4,56.60989498,0.004991071,0,54.43455827,0.065785579,0.197356738,108.0923631,3.035210681,2.606144974,0.462241462,-0.019450182,-0.044246954,0.024796772,NaN
2021-03-23T14:15:00Z,108.676,108.708,108.646,108.657,-0.019,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1000,1246.7,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1000,1246.7,54.23377775,0.0392225,0,50.05293599,0.065515181,0.196545543,100.6224066,3.455119616,3.035210681,0.479196557,-0.013236019,-0.039033368,0.025797349,NaN
2021-03-23T14:30:00Z,108.657,108.659,108.61,108.625,-0.032,0,-0.035,1,FALSE,0,-0.035,1,FALSE,0,-0.035,1,FALSE,0,-0.035,1,FALSE,999,1258.05,0,-0.035,1,FALSE,0,-0.035,1,FALSE,0,-0.035,1,FALSE,NaN,NaN,NaN,999,1258.05,50.39704419,0.066399286,0,47.54692991,0.064335525,0.193006575,78.38195858,2.671530199,3.455119616,0.343053173,-0.010769242,-0.033661787,0.022892545,NaN
2021-03-23T14:45:00Z,108.625,108.651,108.582,108.648,0.023,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1032,1245.65,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1032,1245.65,52.97223079,0.092746429,0,55.84263571,0.064668702,0.194006106,110.4125737,1.850407451,2.671530199,0.389084507,-0.006879098,-0.028325133,0.021446035,NaN
2021-03-23T15:00:00Z,108.648,108.688,108.621,108.682,0.034,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1147,1123.85,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1147,1123.85,56.56230695,0.110273214,0,57.22715955,0.064835223,0.194505669,134.8244797,1.451156691,1.850407451,0.430624158,-0.001040619,-0.022793028,0.021752409,NaN
2021-03-23T15:15:00Z,108.682,108.687,108.636,108.67,-0.012,0,-0.015,1,FALSE,0,-0.015,1,FALSE,0,-0.015,1,FALSE,0,-0.015,1,FALSE,628,1035.35,0,-0.015,1,FALSE,0,-0.015,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,628,1035.35,54.96737809,0.116938929,0,60.10961878,0.063846993,0.191540979,106.8472536,1.327175015,1.451156691,0.463225217,0.002588282,-0.017170833,0.019759115,NaN
2021-03-23T15:30:00Z,108.67,108.711,108.656,108.702,0.032,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,698,992.1,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,698,992.1,58.34085665,0.125537857,0,60.38221194,0.063215065,0.189645195,129.2710532,1.512658419,1.327175015,0.435246996,0.007954648,-0.011825762,0.01978041,NaN
2021-03-23T15:45:00Z,108.702,108.712,108.594,108.608,-0.094,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1056,998.45,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,1056,998.45,47.16391199,0.11566,0,52.03246819,0.067128275,0.201384824,8.407811983,1.31522705,1.512658419,0.460948081,0.004569839,-0.007255082,0.011824921,NaN
2021-03-23T16:00:00Z,108.608,108.677,108.608,108.676,0.068,1,FALSE,0,0.071,1,FALSE,0,0.071,1,FALSE,0,0.071,1,FALSE,0,0.071,1210,999.9,1,FALSE,0,0.071,1,FALSE,0,0.071,1,FALSE,0,0.071,NaN,NaN,NaN,1210,999.9,54.02561573,0.116798571,0,59.46503134,0.067261969,0.201785908,89.90206011,0.930077503,1.31522705,0.454179705,0.007290347,-0.003219116,0.010509463,NaN
2021-03-23T16:15:00Z,108.676,108.682,108.646,108.673,-0.003,0,-0.006,1,FALSE,0,-0.006,1,FALSE,0,-0.006,1,FALSE,0,-0.006,1,FALSE,673,978.55,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,673,978.55,53.69431178,0.120348929,0,62.39921839,0.065028971,0.195086914,77.65451664,0.792318305,0.930077503,0.461917563,0.009099402,-4.694E-05,0.009146342,NaN
2021-03-23T16:30:00Z,108.673,108.684,108.658,108.663,-0.01,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,497,955.2,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,497,955.2,52.53776837,0.1167,0,59.02345897,0.062241188,0.186723563,58.97753893,0.842195454,0.792318305,0.461160714,0.009615335,0.002492099,0.007123236,NaN
2021-03-23T16:45:00Z,108.663,108.702,108.658,108.688,0.025,1,FALSE,0,0.028,1,FALSE,0,0.028,1,FALSE,0,0.028,1,FALSE,0,0.028,452,923.9,1,FALSE,0,0.028,1,FALSE,0,0.028,1,FALSE,1,FALSE,NaN,NaN,NaN,452,923.9,55.13927331,0.112901071,0,56.21397008,0.060938246,0.182814737,86.95652174,1.077565765,0.842195454,0.483212341,0.011904282,0.00501138,0.006892902,NaN
2021-03-23T17:00:00Z,108.688,108.724,108.681,108.713,0.025,1,FALSE,0,0.028,1,FALSE,0,0.028,1,FALSE,0,0.028,1,FALSE,1,FALSE,353,895.6,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,353,895.6,57.63973307,0.1120225,0,58.09785814,0.059656942,0.178970827,114.0243222,1.438018409,1.077565765,0.462706565,0.015556257,0.007504197,0.00805206,NaN
2021-03-23T17:15:00Z,108.713,108.744,108.703,108.735,0.022,1,FALSE,0,0.025,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,427,875,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,427,875,59.7650532,0.1086725,0,57.30763137,0.058324304,0.174972911,139.0593047,1.845079507,1.438018409,0.459351399,0.019995197,0.00984151,0.010153687,NaN
2021-03-23T17:30:00Z,108.735,108.758,108.718,108.724,-0.011,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,463,864.75,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,1,FALSE,NaN,NaN,NaN,463,864.75,58.19291589,0.102658929,0,63.10871658,0.057015425,0.171046275,114.578174,2.265908165,1.845079507,0.404092072,0.022367641,0.012039216,0.010328424,NaN
2021-03-23T17:45:00Z,108.724,108.724,108.698,108.718,-0.006,0,-0.009,1,FALSE,0,-0.009,1,FALSE,0,-0.009,1,FALSE,0,-0.009,1,FALSE,559,850.15,0,-0.009,1,FALSE,0,-0.009,1,FALSE,0,-0.009,1,FALSE,NaN,NaN,NaN,559,850.15,57.30739848,0.0934175,0,59.94665374,0.054800037,0.164400112,99.57173448,2.057336481,2.265908165,0.396282214,0.023492859,0.013765684,0.009727174,NaN
2021-03-23T18:00:00Z,108.718,108.743,108.716,108.733,0.015,1,FALSE,0,0.018,1,FALSE,0,0.018,1,FALSE,0,0.018,1,FALSE,0,0.018,434,819.3,1,FALSE,0,0.018,1,FALSE,0,0.018,1,FALSE,0,0.018,NaN,NaN,NaN,434,819.3,58.9876204,0.083695714,0,59.3620395,0.05281432,0.158442961,122.2271627,2.022502311,2.057336481,0.406037415,0.025303296,0.016069402,0.009233894,NaN
