現在時刻,予測時刻,オーダー,MACD_judge,現在価格,tp,sl
2021/03/27/ 16:32:13,2021-03-23 09:20,注文無し,1,108.761,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:13,2021-03-23 09:25,買い注文(極少),0,108.78399999999999,motikosi,108.77099999999999
2021/03/27/ 16:32:13,2021-03-23 09:30,買い注文(少),0,108.803,108.82,108.78999999999999
2021/03/27/ 16:32:14,2021-03-23 09:35,買い注文(少),0,108.82799999999999,motikosi,108.81499999999998
2021/03/27/ 16:32:14,2021-03-23 09:40,注文無し,0,108.82400000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:14,2021-03-23 09:45,注文無し,0,108.80900000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:14,2021-03-23 09:50,買い注文(極少),0,108.81,motikosi,108.797
2021/03/27/ 16:32:14,2021-03-23 09:55,買い注文(極少),0,108.824,108.851,108.81099999999999
2021/03/27/ 16:32:14,2021-03-23 10:00,買い注文(少),0,108.814,108.841,108.80099999999999
2021/03/27/ 16:32:14,2021-03-23 10:05,注文無し,0,108.837,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:14,2021-03-23 10:10,注文無し,0,108.837,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:15,2021-03-23 10:15,売り注文(極少),1,108.827,108.8,108.84
2021/03/27/ 16:32:15,2021-03-23 10:20,買い注文(極少),0,108.81700000000001,108.84400000000001,108.804
2021/03/27/ 16:32:15,2021-03-23 10:25,買い注文(極少),0,108.85600000000001,motikosi,108.843
2021/03/27/ 16:32:15,2021-03-23 10:30,買い注文(極少),0,108.851,motikosi,108.838
2021/03/27/ 16:32:15,2021-03-23 10:35,注文無し,0,108.84599999999999,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:15,2021-03-23 10:40,買い注文(少),0,108.848,108.875,108.835
2021/03/27/ 16:32:15,2021-03-23 10:45,売り注文(少),1,108.842,motikosi,108.855
2021/03/27/ 16:32:15,2021-03-23 10:50,注文無し,1,108.827,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:16,2021-03-23 10:55,売り注文(極少),1,108.80900000000001,motikosi,108.82200000000002
2021/03/27/ 16:32:16,2021-03-23 11:00,注文無し,1,108.812,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:16,2021-03-23 11:05,注文無し,1,108.787,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:16,2021-03-23 11:10,注文無し,1,108.77300000000001,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:16,2021-03-23 11:15,注文無し,1,108.727,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/27/ 16:32:16,2021-03-23 11:20,売り注文(少),1,108.705,108.678,108.718
2021/03/27/ 16:32:16,2021-03-23 11:25,売り注文(少),1,108.716,108.689,108.729
2021/03/27/ 16:32:16,2021-03-23 11:30,売り注文(極少),1,108.737,motikosi,108.75
