åªç›éûçè,ó\ë™éûçè,ÉIÅ[É_Å[,ó\ë™íl,MACD_judge,åªç›âøäi,tp,sl
2021/03/29/ 06:32:25,2021-03-29 06:30,íçï∂ñ≥Çµ,109.245,0,0,0,0
2021/03/29/ 06:35:00,2021-03-29 06:35,îÑÇËíçï∂(ã…è≠),109.243,1,0,0,0
2021/03/29/ 06:40:01,2021-03-29 06:40,îÑÇËíçï∂(ã…è≠),109.237,1,0,0,0
2021/03/29/ 06:45:01,2021-03-29 06:45,îÑÇËíçï∂(ã…è≠),109.23,1,0,0,0
2021/03/29/ 06:50:01,2021-03-29 06:50,íçï∂ñ≥Çµ,109.232,1,0,0,0
2021/03/29/ 06:55:01,2021-03-29 06:55,îÑÇËíçï∂(ã…è≠),109.227,1,0,0,0
2021/03/29/ 07:00:01,2021-03-29 07:00,íçï∂ñ≥Çµ,109.23,1,0,0,0
2021/03/29/ 07:05:00,2021-03-29 07:05,íçï∂ñ≥Çµ,109.233,1,0,0,0
2021/03/29/ 07:10:01,2021-03-29 07:10,îÑÇËíçï∂(ã…è≠),109.218,1,0,0,0
2021/03/29/ 07:15:01,2021-03-29 07:15,îÑÇËíçï∂(ã…è≠),109.199,1,0,0,0
2021/03/29/ 07:20:01,2021-03-29 07:20,íçï∂ñ≥Çµ,109.217,1,0,0,0
2021/03/29/ 07:25:01,2021-03-29 07:25,îÑÇËíçï∂(ã…è≠),109.208,1,0,0,0
2021/03/29/ 07:30:01,2021-03-29 07:30,íçï∂ñ≥Çµ,109.21,1,0,0,0
2021/03/29/ 07:35:01,2021-03-29 07:35,íçï∂ñ≥Çµ,109.213,1,0,0,0
2021/03/29/ 07:40:01,2021-03-29 07:40,îÑÇËíçï∂(ã…è≠),109.206,1,0,0,0
2021/03/29/ 07:45:00,2021-03-29 07:45,íçï∂ñ≥Çµ,109.219,1,0,0,0
2021/03/29/ 07:50:00,2021-03-29 07:50,íçï∂ñ≥Çµ,109.211,0,0,0,0
2021/03/29/ 07:55:00,2021-03-29 07:55,îÉÇ¢íçï∂(è≠),109.24,0,0,0,0
2021/03/29/ 08:00:01,2021-03-29 08:00,îÉÇ¢íçï∂(ã…è≠),109.248,0,0,0,0
2021/03/29/ 08:05:01,2021-03-29 08:05,íçï∂ñ≥Çµ,109.247,0,0,0,0
2021/03/29/ 08:10:01,2021-03-29 08:10,íçï∂ñ≥Çµ,109.208,0,0,0,0
2021/03/29/ 08:15:01,2021-03-29 08:15,îÉÇ¢íçï∂(è≠),109.245,0,109.783,109.804,109.773
2021/03/29/ 08:20:00,2021-03-29 08:20,íçï∂ñ≥Çµ,109.16,0,109.783,109.804,109.773
2021/03/29/ 08:25:01,2021-03-29 08:25,íçï∂ñ≥Çµ,109.154,0,109.783,109.804,109.773
2021/03/29/ 08:30:01,2021-03-29 08:30,îÉÇ¢íçï∂(è≠),109.191,0,109.772,109.793,109.762
2021/03/29/ 09:02:48,2021-03-29 09:05,íçï∂ñ≥Çµ,109.174,0,0,0,0
2021/03/29/ 09:05:00,2021-03-29 09:05,íçï∂ñ≥Çµ,109.174,0,0,0,0
2021/03/29/ 09:10:01,2021-03-29 09:10,îÑÇËíçï∂(è≠),109.078,1,109.713,109.692,109.723
2021/03/29/ 09:20:01,2021-03-29 09:20,íçï∂ñ≥Çµ,109.206,1,109.713,109.692,109.723
2021/03/29/ 09:25:01,2021-03-29 09:25,îÑÇËíçï∂(ã…è≠),109.197,1,109.674,109.653,109.68400000000001
2021/03/29/ 09:30:01,2021-03-29 09:30,îÑÇËíçï∂(ã…è≠),109.183,1,109.65,109.629,109.66000000000001
2021/03/29/ 09:35:01,2021-03-29 09:35,íçï∂ñ≥Çµ,109.184,1,109.65,109.629,109.66000000000001
2021/03/29/ 09:40:00,2021-03-29 09:40,îÑÇËíçï∂(ã…è≠),109.18,1,109.674,109.653,109.68400000000001
2021/03/29/ 09:45:01,2021-03-29 09:45,îÑÇËíçï∂(è≠),109.136,1,109.697,109.676,109.70700000000001
2021/03/29/ 09:50:00,2021-03-29 09:50,îÉÇ¢íçï∂(ã…è≠),109.139,0,109.684,109.705,109.67399999999999
2021/03/29/ 09:55:01,2021-03-29 09:55,íçï∂ñ≥Çµ,109.162,1,109.684,109.705,109.67399999999999
2021/03/29/ 10:00:01,2021-03-29 10:00,îÑÇËíçï∂(ã…è≠),109.144,1,109.668,109.647,109.67800000000001
2021/03/29/ 10:05:01,2021-03-29 10:05,îÑÇËíçï∂(ã…è≠),109.14,1,109.647,109.626,109.65700000000001
2021/03/29/ 10:10:01,2021-03-29 10:15,îÑÇËíçï∂(ã…è≠),109.136,1,109.656,109.635,109.66600000000001
2021/03/29/ 10:15:01,2021-03-29 10:15,íçï∂ñ≥Çµ,109.136,1,109.656,109.635,109.66600000000001
2021/03/29/ 10:20:01,2021-03-29 10:20,îÉÇ¢íçï∂(ã…è≠),109.138,0,109.714,109.735,109.704
2021/03/29/ 10:25:01,2021-03-29 10:25,îÉÇ¢íçï∂(ã…è≠),109.15,0,109.713,109.73299999999999,109.70299999999999
2021/03/29/ 10:30:01,2021-03-29 10:30,îÉÇ¢íçï∂(è≠),109.18,0,109.687,109.708,109.67699999999999
2021/03/29/ 10:35:01,2021-03-29 10:35,îÉÇ¢íçï∂(ã…è≠),109.192,0,109.703,109.724,109.693
2021/03/29/ 10:45:01,2021-03-29 10:45,îÑÇËíçï∂(ã…è≠),109.182,1,109.633,109.612,109.643
2021/03/29/ 10:50:01,2021-03-29 10:50,îÑÇËíçï∂(è≠),109.148,1,109.625,109.645,109.615
2021/03/29/ 10:55:01,2021-03-29 10:55,îÑÇËíçï∂(ã…è≠),109.141,1,109.664,109.684,109.654
2021/03/29/ 11:00:01,2021-03-29 11:00,îÉÇ¢íçï∂(ã…è≠),109.143,0,109.63,109.651,109.61999999999999
2021/03/29/ 11:05:01,2021-03-29 11:05,îÑÇËíçï∂(ã…è≠),109.142,1,109.609,109.588,109.619
2021/03/29/ 11:10:01,2021-03-29 11:10,îÑÇËíçï∂(ã…è≠),109.134,1,109.561,109.54,109.57100000000001
2021/03/29/ 11:15:01,2021-03-29 11:15,íçï∂ñ≥Çµ,109.135,1,109.561,109.54,109.57100000000001
2021/03/29/ 11:20:01,2021-03-29 11:20,îÑÇËíçï∂(ã…è≠),109.134,1,109.555,109.534,109.56500000000001
2021/03/29/ 11:25:01,2021-03-29 11:25,íçï∂ñ≥Çµ,109.135,1,109.555,109.534,109.56500000000001
2021/03/29/ 11:30:01,2021-03-29 11:30,îÑÇËíçï∂(ã…è≠),109.134,1,109.526,109.505,109.536
2021/03/29/ 11:35:00,2021-03-29 11:35,íçï∂ñ≥Çµ,109.134,1,109.526,109.505,109.536
