現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/03/30/ 17:58:05,2021-03-29 09:00,注文無し,109.208,1,109.775,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:06,2021-03-29 09:05,注文無し,109.173,0,109.779,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:06,2021-03-29 09:10,売り注文(極少),109.17,1,109.791,109.773,109.804
2021/03/30/ 17:58:06,2021-03-29 09:15,売り注文(少),109.077,1,109.705,109.687,109.718
2021/03/30/ 17:58:06,2021-03-29 09:20,注文無し,109.17,1,109.709,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:07,2021-03-29 09:25,注文無し,109.179,1,109.696,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:07,2021-03-29 09:30,売り注文(極少),109.162,1,109.671,109.653,109.68400000000001
2021/03/30/ 17:58:07,2021-03-29 09:35,売り注文(少),109.137,1,109.673,109.655,109.686
2021/03/30/ 17:58:07,2021-03-29 09:40,注文無し,109.142,1,109.652,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:07,2021-03-29 09:45,売り注文(極少),109.134,1,109.655,109.637,109.668
2021/03/30/ 17:58:08,2021-03-29 09:50,買い注文(極少),109.136,0,109.674,109.69200000000001,109.661
2021/03/30/ 17:58:08,2021-03-29 09:55,注文無し,109.139,1,109.693,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:08,2021-03-29 10:00,注文無し,109.162,1,109.675,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:08,2021-03-29 10:05,売り注文(極少),109.144,1,109.654,109.636,109.667
2021/03/30/ 17:58:09,2021-03-29 10:10,売り注文(極少),109.14,1,109.668,109.65,109.68100000000001
2021/03/30/ 17:58:09,2021-03-29 10:15,売り注文(極少),109.138,1,109.651,109.633,109.664
2021/03/30/ 17:58:09,2021-03-29 10:20,注文無し,109.136,0,109.656,予測値が同じためオーダーしない,予測値が同じためオーダーしない
2021/03/30/ 17:58:09,2021-03-29 10:25,買い注文(極少),109.138,0,109.688,109.705,109.675
2021/03/30/ 17:58:10,2021-03-29 10:30,買い注文(極少),109.15,0,109.707,ポジション持ち越し,ポジション持ち越し
