現在時刻,予測時刻,オーダー,予測値,MACD_judge,現在価格,tp,sl
2021/04/01/ 17:49:52,2021-04-01 18:00,注文無し,110.142,0,0,0,0
2021/04/01/ 18:01:27,2021-04-01 18:15,注文無し,110.154,0,0,0,0
2021/04/01/ 18:15:01,2021-04-01 18:15,注文無し,110.154,0,0,0,0
2021/04/01/ 18:30:01,2021-04-01 18:30,買い注文(少),110.185,0,110.75,110.79,110.65
2021/04/01/ 18:43:46,2021-04-01 18:45,注文無し,110.147,1,0,0,0
2021/04/01/ 18:45:01,2021-04-01 18:45,注文無し,110.147,1,0,0,0
2021/04/01/ 18:46:34,2021-04-01 19:00,注文無し,110.179,1,0,0,0
2021/04/01/ 19:00:01,2021-04-01 19:00,注文無し,110.179,1,0,0,0
2021/04/01/ 19:15:00,2021-04-01 19:15,買い注文(極少),110.19,0,110.807,110.84700000000001,110.70700000000001
2021/04/01/ 19:30:00,2021-04-01 19:30,買い注文(少),110.225,0,110.785,110.825,110.685
2021/04/01/ 19:45:00,2021-04-01 19:45,売り注文(少),110.163,0,110.802,110.762,110.902
2021/04/01/ 20:00:00,2021-04-01 20:00,買い注文(少),110.193,0,110.794,110.834,110.694
2021/04/01/ 20:15:01,2021-04-01 20:15,買い注文(極少),110.211,0,110.785,110.825,110.685
2021/04/01/ 20:30:00,2021-04-01 20:30,買い注文(極少),110.215,1,110.766,110.80600000000001,110.66600000000001
2021/04/01/ 20:45:00,2021-04-01 20:45,売り注文(少),110.15,1,110.785,110.74499999999999,110.88499999999999
2021/04/01/ 21:00:01,2021-04-01 21:00,買い注文(少),110.172,1,110.759,110.799,110.659
2021/04/01/ 21:15:01,2021-04-01 21:15,買い注文(極少),110.183,1,110.698,110.738,110.598
2021/04/01/ 21:30:01,2021-04-01 21:30,売り注文(極少),110.174,1,110.698,110.738,110.598
2021/04/01/ 21:45:00,2021-04-01 21:45,売り注文(少),110.111,1,110.666,110.62599999999999,110.76599999999999
2021/04/01/ 22:00:01,2021-04-01 22:00,買い注文(極少),110.122,1,110.694,110.73400000000001,110.59400000000001
2021/04/01/ 22:05:20,2021-04-01 22:15,注文無し,110.136,1,0,0,0
2021/04/01/ 22:08:58,2021-04-01 22:15,注文無し,110.136,1,0,0,0
