日付,ドル円,ポンド円,オシレーター買いドル円,オシレーター中立ドル円,オシレーター売りドル円,移動平均買いドル円,移動平均中立ドル円,移動平均売りドル円,オシレーター買いポンド円,オシレーター中立ポンド円,オシレーター売りポンド円,移動平均買いポンド円,移動平均中立ポンド円,移動平均売りポンド円,S&P500指数,S&P500指数変化率,日経平均株価,日経平均株価変化率,UK100INDEX,UK100INDEX変化率,恐怖指数,恐怖指数変化率,ドル円(15分前),ポンド円(15分前),ドル円(1分後),ポンド円(1分後)
2021/01/04/ 09:19:50,103.154,141.005,1,8,2,1,1,14,1,9,1,4,1,12,3756.08,0,27424.17,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:20:54,103.138,140.996,1,8,2,1,1,14,2,9,0,0,1,16,3756.08,0,27424.17,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:21:58,103.148,140.975,1,8,2,1,1,14,1,9,1,0,1,16,3756.08,0,27368.85,-0.2017,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:23:03,103.141,140.972,1,8,2,1,1,14,2,9,0,0,1,16,3756.08,0,27368.85,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:24:07,103.14,140.972,1,8,2,1,1,14,4,7,0,1,1,15,3756.08,0,27357.08,-0.043,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:25:13,103.145,140.985,1,8,2,1,1,14,1,9,1,3,1,13,3756.08,0,27357.08,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:26:18,103.151,140.971,1,8,2,1,1,14,2,9,0,2,1,14,3756.08,0,27357.08,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:27:23,103.133,140.969,1,8,2,1,1,14,2,9,0,0,1,16,3756.08,0,27357.08,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:28:28,103.126,140.951,1,8,2,1,1,14,4,7,0,0,1,16,3756.08,0,27396.28,0.1433,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:29:33,103.113,140.906,1,8,2,1,1,14,2,7,2,0,1,16,3756.08,0,27396.28,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:30:37,103.102,140.893,1,8,2,1,1,14,1,7,3,0,1,16,3756.08,0,27396.28,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:31:42,103.092,140.857,1,8,2,1,1,14,3,6,2,0,1,16,3756.08,0,27396.28,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:32:47,103.11,140.86,1,8,2,1,1,14,2,6,3,1,1,15,3756.08,0,27340.49,-0.2036,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:33:52,103.106,140.865,1,8,2,1,1,14,3,5,3,1,1,15,3756.08,0,27340.49,0,6460.5,0,22.75,0,0,0,,
2021/01/04/ 09:34:56,103.1,140.871,1,8,2,1,1,14,3,7,1,2,1,14,3756.08,0,27255.32,-0.3115,6460.5,0,22.75,0,103.154,141.005,,
2021/01/04/ 09:36:01,103.073,140.825,1,8,2,1,1,14,2,8,1,0,1,16,3756.08,0,27255.32,0,6460.5,0,22.75,0,103.138,140.996,,
2021/01/04/ 09:37:07,103.075,140.844,1,8,2,1,1,14,1,8,2,1,1,15,3756.08,0,27228.92,-0.0969,6460.5,0,22.75,0,103.148,140.975,,
2021/01/04/ 09:38:16,103.073,140.813,1,8,2,1,1,14,2,7,2,0,1,16,3756.08,0,27228.92,0,6460.5,0,22.75,0,103.141,140.972,,
2021/01/04/ 09:39:25,103.06,140.775,1,8,2,1,1,14,2,6,3,0,1,16,3756.08,0,27180.11,-0.1793,6460.5,0,22.75,0,103.14,140.972,,
2021/01/04/ 09:40:34,103.051,140.804,1,8,2,1,1,14,0,9,2,1,1,15,3756.08,0,27180.11,0,6460.5,0,22.75,0,103.145,140.985,,
2021/01/04/ 09:41:42,103.045,140.804,1,8,2,1,1,14,0,8,3,2,1,14,3756.08,0,27134.74,-0.1669,6460.5,0,22.75,0,103.151,140.971,,
2021/01/04/ 09:42:51,103.047,140.842,1,8,2,1,1,14,1,9,1,5,1,11,3756.08,0,27134.74,0,6460.5,0,22.75,0,103.133,140.969,,
2021/01/04/ 09:43:55,103.06,140.834,1,8,2,1,1,14,2,9,0,5,1,11,3756.08,0,27134.74,0,6460.5,0,22.75,0,103.126,140.951,,
2021/01/04/ 09:45:00,103.045,140.83,1,8,2,1,1,14,1,9,1,3,1,13,3756.08,0,27134.74,0,6460.5,0,22.75,0,,,,
2021/01/04/ 09:47:14,103.054,140.863,1,8,2,1,1,14,1,8,2,7,1,9,3756.08,0,27185.19,0,6460.5,0,22.75,0,0,0,0,0
2021/01/04/ 09:48:20,103.041,140.853,1,8,2,1,1,14,1,8,2,4,1,12,3756.08,0,27185.19,0,6460.5,0,22.75,0,0,0,0,0
2021/01/04/ 09:49:24,103.032,140.839,1,8,2,1,1,14,2,8,1,4,1,12,3756.08,0,27145.82,-0.1448,6460.5,0,22.75,0,0,0,0,0
2021/01/04/ 09:52:42,103.039,140.921,1,8,2,1,1,14,1,9,1,10,1,6,3756.08,0,27145.82,0,6460.5,0,22.75,0,0,0,103.069,140.954
2021/01/04/ 09:55:57,103.06,140.89,1,8,2,1,1,14,3,6,2,10,1,6,3756.08,0,27127.2,0.0008,6460.5,0,22.75,0,0,0,103.062,140.901
2021/01/04/ 09:57:03,103.062,140.901,1,8,2,1,1,14,3,6,2,7,0,10,3756.08,0,27127.2,0,6460.5,0,22.75,0,0,0,103.058,140.895
2021/01/04/ 09:58:08,103.058,140.895,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27074.92,-0.1927,6460.5,0,22.75,0,0,0,103.055,140.912
2021/01/04/ 09:59:14,103.055,140.912,1,8,2,1,1,14,2,8,1,11,1,5,3756.08,0,27074.92,0,6460.5,0,22.75,0,0,0,103.043,140.896
2021/01/04/ 10:00:18,103.043,140.896,1,8,2,1,1,14,1,8,2,11,1,5,3756.08,0,27045.57,-0.1084,6460.5,0,22.75,0,0,0,103.072,140.937
2021/01/04/ 10:01:24,103.072,140.937,1,8,2,1,1,14,4,7,0,8,1,8,3756.08,0,27045.57,0,6460.5,0,22.75,0,0,0,103.075,140.922
2021/01/04/ 10:02:29,103.075,140.922,1,8,2,1,1,14,3,7,1,9,1,7,3756.08,0,27046.27,0.0026,6460.5,0,22.75,0,0,0,103.07,140.89
2021/01/04/ 10:03:34,103.07,140.89,1,8,2,1,1,14,3,7,1,6,1,10,3756.08,0,27046.27,0,6460.5,0,22.75,0,0,0,103.071,140.911
2021/01/04/ 10:04:40,103.071,140.911,1,8,2,1,1,14,1,8,2,9,1,7,3756.08,0,27097.69,0.1901,6460.5,0,22.75,0,0,0,103.066,140.912
2021/01/04/ 10:05:45,103.066,140.912,1,8,2,1,1,14,1,9,1,7,1,9,3756.08,0,27097.69,0,6460.5,0,22.75,0,0,0,103.077,140.943
2021/01/04/ 10:06:49,103.077,140.943,1,8,2,1,1,14,3,7,1,12,1,4,3756.08,0,27097.69,0,6460.5,0,22.75,0,0,0,103.077,140.953
2021/01/04/ 10:07:55,103.077,140.953,1,8,2,1,1,14,2,7,2,12,1,4,3756.08,0,27097.69,0,6460.5,0,22.75,0,0,0,103.08,140.982
2021/01/04/ 10:08:59,103.08,140.982,1,8,2,1,1,14,2,8,1,13,1,3,3756.08,0,27108.55,0.0401,6460.5,0,22.75,0,0,0,103.069,140.992
2021/01/04/ 10:10:03,103.069,140.992,1,8,2,1,1,14,2,6,3,12,1,4,3756.08,0,27108.55,0,6460.5,0,22.75,0,103.077,140.94,103.071,140.985
2021/01/04/ 10:11:08,103.071,140.985,1,8,2,1,1,14,4,3,4,12,1,4,3756.08,0,27137.96,0.1085,6460.5,0,22.75,0,103.06,140.89,103.089,140.984
2021/01/04/ 10:12:13,103.089,140.984,1,8,2,1,1,14,1,8,2,7,1,9,3756.08,0,27137.96,0,6460.5,0,22.75,0,103.062,140.901,103.091,141.001
2021/01/04/ 10:13:18,103.091,141.001,1,8,2,1,1,14,1,8,2,12,1,4,3756.08,0,27150.77,0.0472,6460.5,0,22.75,0,103.058,140.895,103.088,140.988
2021/01/04/ 10:14:24,103.088,140.988,1,8,2,1,1,14,2,9,0,13,1,3,3756.08,0,27150.77,0,6460.5,0,22.75,0,103.055,140.912,103.083,140.958
2021/01/04/ 10:15:28,103.083,140.958,1,8,2,1,1,14,2,9,0,9,1,7,3756.08,0,27127.57,-0.0854,6460.5,0,22.75,0,103.043,140.896,103.074,140.967
2021/01/04/ 10:16:33,103.074,140.967,1,8,2,1,1,14,2,8,1,7,1,9,3756.08,0,27127.57,0,6460.5,0,22.75,0,103.072,140.937,103.066,140.954
2021/01/04/ 10:17:38,103.066,140.954,1,8,2,1,1,14,1,8,2,8,1,8,3756.08,0,27084.38,-0.1592,6460.5,0,22.75,0,103.075,140.922,103.061,140.959
2021/01/04/ 10:18:43,103.061,140.959,1,8,2,1,1,14,2,8,1,11,1,5,3756.08,0,27084.38,0,6460.5,0,22.75,0,103.07,140.89,103.087,140.972
2021/01/04/ 10:19:47,103.087,140.972,1,8,2,1,1,14,1,8,2,11,1,5,3756.08,0,27076.38,-0.0295,6460.5,0,22.75,0,103.071,140.911,103.082,140.967
2021/01/04/ 10:20:52,103.082,140.967,1,8,2,1,1,14,0,9,2,12,1,4,3756.08,0,27076.38,0,6460.5,0,22.75,0,103.066,140.912,103.085,140.99
2021/01/04/ 10:21:56,103.085,140.99,1,8,2,1,1,14,2,7,2,13,1,3,3756.08,0,27071.32,-0.0187,6460.5,0,22.75,0,103.077,140.943,103.093,141.01
