,名前,天気,ラウンド,頭数,枠番,馬番,斥量,フィールド,距離,馬場,馬場指数,タイム指数,馬体重,着順
544,1,0,10,14,8,13,57.0,0,1900,0,-7.0,100.0,470.0,1
545,1,0,10,14,7,12,57.0,0,1900,0,-7.0,87.0,520.0,5
546,1,0,10,14,7,11,55.0,0,1900,0,-7.0,98.0,480.0,5
547,1,0,10,14,6,9,57.0,0,1900,0,-7.0,94.0,474.0,5
548,1,0,10,14,5,7,53.0,0,1900,0,-7.0,97.0,438.0,1
549,1,0,10,14,4,6,57.0,0,1900,0,-7.0,97.0,488.0,5
550,1,0,10,14,4,5,55.0,0,1900,0,-7.0,94.0,548.0,5
551,1,0,10,14,5,8,57.0,0,1900,0,-7.0,96.0,464.0,5
552,1,0,10,14,1,1,57.0,0,1900,0,-7.0,98.0,522.0,5
553,1,0,10,14,6,10,57.0,0,1900,0,-7.0,81.0,528.0,5
554,1,0,10,14,3,3,55.0,0,1900,0,-7.0,107.0,488.0,1
555,1,0,10,14,8,14,57.0,0,1900,0,-7.0,95.0,476.0,5
556,1,0,10,14,2,2,57.0,0,1900,0,-7.0,90.0,548.0,5
558,1,0,8,8,8,8,55.0,9,2400,0,-9.0,90.0,460.0,1
559,1,0,8,8,6,6,57.0,9,2400,0,-9.0,86.0,490.0,5
560,1,0,8,8,1,1,54.0,9,2400,0,-9.0,85.0,444.0,5
561,1,0,8,8,3,3,55.0,9,2400,0,-9.0,84.0,464.0,5
562,1,0,8,8,5,5,54.0,9,2400,0,-9.0,92.0,484.0,1
563,1,0,8,8,4,4,52.0,9,2400,0,-9.0,93.0,440.0,1
564,1,0,8,8,7,7,54.0,9,2400,0,-9.0,86.0,458.0,5
565,1,0,8,8,2,2,57.0,9,2400,0,-9.0,88.0,516.0,5
566,1,0,9,10,7,8,54.0,9,1600,0,4.0,94.0,480.0,5
567,1,0,9,10,4,4,54.0,9,1600,0,4.0,92.0,474.0,5
568,1,0,9,10,8,10,53.0,9,1600,0,4.0,69.0,532.0,5
569,1,0,9,10,3,3,53.0,9,1600,0,4.0,94.0,490.0,5
570,1,0,9,10,6,6,52.0,9,1600,0,4.0,90.0,488.0,5
571,1,0,9,10,8,9,52.0,9,1600,0,4.0,92.0,476.0,5
572,1,0,9,10,1,1,52.0,9,1600,0,4.0,99.0,512.0,1
573,1,0,9,10,7,7,52.0,9,1600,0,4.0,98.0,484.0,1
574,1,0,9,10,5,5,55.0,9,1600,0,4.0,99.0,476.0,1
575,1,0,9,10,2,2,54.0,9,1600,0,4.0,82.0,522.0,5
576,1,9,11,12,3,3,56.0,0,1700,0,3.0,104.0,498.0,5
577,1,9,11,12,6,8,56.0,0,1700,0,3.0,112.0,498.0,1
578,1,9,11,12,2,2,56.0,0,1700,0,3.0,113.0,462.0,1
579,1,9,11,12,5,6,58.0,0,1700,0,3.0,108.0,460.0,5
580,1,9,11,12,6,7,57.0,0,1700,0,3.0,103.0,502.0,5
581,1,9,11,12,4,4,56.0,0,1700,0,3.0,98.0,544.0,5
582,1,9,11,12,7,9,56.0,0,1700,0,3.0,79.0,530.0,5
583,1,9,11,12,8,12,56.0,0,1700,0,3.0,94.0,480.0,5
584,1,9,11,12,5,5,56.0,0,1700,0,3.0,104.0,482.0,5
585,1,9,11,12,8,11,56.0,0,1700,0,3.0,93.0,482.0,5
586,1,9,11,12,7,10,56.0,0,1700,0,3.0,109.0,480.0,1
587,1,9,11,12,1,1,58.0,0,1700,0,3.0,105.0,460.0,5
597,1,9,10,11,7,9,54.0,9,2600,0,-9.0,87.0,482.0,1
598,1,9,10,11,3,3,54.0,9,2600,0,-9.0,84.0,480.0,5
599,1,9,10,11,7,8,54.0,9,2600,0,-9.0,84.0,462.0,5
600,1,9,10,11,2,2,54.0,9,2600,0,-9.0,88.0,464.0,5
601,1,9,10,11,8,11,54.0,9,2600,0,-9.0,88.0,466.0,5
602,1,9,10,11,4,4,57.0,9,2600,0,-9.0,87.0,466.0,5
603,1,9,10,11,6,7,57.0,9,2600,0,-9.0,77.0,492.0,5
604,1,9,10,11,5,5,57.0,9,2600,0,-9.0,77.0,512.0,5
605,1,9,10,11,1,1,57.0,9,2600,0,-9.0,85.0,452.0,5
606,1,9,10,11,8,10,54.0,9,2600,0,-9.0,90.0,462.0,1
607,1,9,10,11,6,6,57.0,9,2600,0,-9.0,90.0,438.0,1
608,1,9,11,12,2,2,58.0,9,2000,0,-9.0,108.0,478.0,5
609,1,9,11,12,1,1,58.0,9,2000,0,-9.0,105.0,550.0,5
610,1,9,11,12,3,3,58.0,9,2000,0,-9.0,108.0,496.0,5
611,1,9,11,12,6,7,56.0,9,2000,0,-9.0,119.0,464.0,1
612,1,9,11,12,8,12,58.0,9,2000,0,-9.0,108.0,492.0,5
613,1,9,11,12,4,4,58.0,9,2000,0,-9.0,92.0,450.0,5
