,名前,天気,ラウンド,頭数,馬番,斥量,フィールド,距離,馬場,馬場指数,着差,タイム指数,上り,馬体重,賞金,着順,タイム
544,1,1,10,14,13,57.0,1.0,1900,1,-7.0,1.1,100.0,37.2,70.0,738.8,2,118.4
545,1,1,10,14,12,57.0,1.0,1900,1,-7.0,2.4,87.0,38.0,20.0,0.0,12,119.7
546,1,1,10,14,11,55.0,1.0,1900,1,-7.0,1.4,98.0,37.0,80.0,182.0,5,118.7
547,1,1,10,14,9,57.0,1.0,1900,1,-7.0,1.6,94.0,37.8,74.0,0.0,8,118.9
548,1,1,10,14,7,53.0,1.0,1900,1,-7.0,1.2,97.0,37.5,38.0,464.4,3,118.50000000000001
549,1,1,10,14,6,57.0,1.0,1900,1,-7.0,1.6,97.0,36.6,88.0,0.0,7,118.9
550,1,1,10,14,5,55.0,1.0,1900,1,-7.0,1.8,94.0,37.1,48.0,0.0,10,119.10000000000001
551,1,1,10,14,8,57.0,1.0,1900,1,-7.0,1.5,96.0,37.3,64.0,0.0,6,118.80000000000001
552,1,1,10,14,1,57.0,1.0,1900,1,-7.0,1.4,98.0,36.9,22.0,270.0,4,118.7
553,1,1,10,14,10,57.0,1.0,1900,1,-7.0,3.1,81.0,38.7,28.0,0.0,14,120.4
554,1,1,10,14,3,55.0,1.0,1900,1,-7.0,-1.1,107.0,36.7,88.0,1850.8,1,117.30000000000001
555,1,1,10,14,14,57.0,1.0,1900,1,-7.0,1.7,95.0,37.5,76.0,0.0,9,119.00000000000001
556,1,1,10,14,2,57.0,1.0,1900,1,-7.0,2.1,90.0,38.0,48.0,0.0,11,119.4
558,1,1,8,8,8,55.0,1.0,2400,1,-9.0,0.4,90.0,34.0,60.0,382.7,3,148.20000000000002
559,1,1,8,8,6,57.0,1.0,2400,1,-9.0,1.1,86.0,35.0,90.0,0.0,6,148.9
560,1,1,8,8,1,54.0,1.0,2400,1,-9.0,1.2,85.0,34.8,44.0,0.0,7,149.0
561,1,1,8,8,3,55.0,1.0,2400,1,-9.0,1.3,84.0,35.1,64.0,0.0,8,149.10000000000002
562,1,1,8,8,5,54.0,1.0,2400,1,-9.0,0.1,92.0,34.2,84.0,605.4,2,147.9
563,1,1,8,8,4,52.0,1.0,2400,1,-9.0,-0.1,93.0,33.7,40.0,1518.9,1,147.8
564,1,1,8,8,7,54.0,1.0,2400,1,-9.0,1.1,86.0,35.1,58.0,150.0,5,148.9
565,1,1,8,8,2,57.0,1.0,2400,1,-9.0,0.8,88.0,34.6,16.0,230.0,4,148.60000000000002
566,1,1,9,10,8,54.0,1.0,1600,1,4.0,0.4,94.0,34.0,80.0,150.0,5,96.10000000000001
567,1,1,9,10,4,54.0,1.0,1600,1,4.0,0.6,92.0,34.3,74.0,0.0,6,96.30000000000001
568,1,1,9,10,10,53.0,1.0,1600,1,4.0,2.3,69.0,34.3,32.0,0.0,10,98.0
569,1,1,9,10,3,53.0,1.0,1600,1,4.0,0.2,94.0,34.8,90.0,230.0,4,95.9
570,1,1,9,10,6,52.0,1.0,1600,1,4.0,0.8,90.0,33.8,88.0,0.0,8,96.5
571,1,1,9,10,9,52.0,1.0,1600,1,4.0,0.6,92.0,33.8,76.0,0.0,7,96.30000000000001
572,1,1,9,10,1,52.0,1.0,1600,1,4.0,0,99.0,33.9,12.0,606.8,2,95.7
573,1,1,9,10,7,52.0,1.0,1600,1,4.0,0,98.0,34.2,84.0,1523.8,1,95.7
574,1,1,9,10,5,55.0,1.0,1600,1,4.0,0,99.0,33.9,76.0,383.4,3,95.7
575,1,1,9,10,2,54.0,1.0,1600,1,4.0,1.6,82.0,33.9,22.0,0.0,9,97.30000000000001
576,1,1,11,12,3,56.0,1.0,1700,1,3.0,1,104.0,38.1,98.0,0.0,7,105.5
577,1,1,11,12,8,56.0,1.0,1700,1,3.0,0.2,112.0,37.9,98.0,927.4,2,104.7
578,1,1,11,12,2,56.0,1.0,1700,1,3.0,-0.2,113.0,37.4,62.0,2325.9,1,104.5
579,1,1,11,12,6,58.0,1.0,1700,1,3.0,1,108.0,36.2,60.0,0.0,6,105.5
580,1,1,11,12,7,57.0,1.0,1700,1,3.0,1.1,103.0,37.6,2.0,0.0,8,105.60000000000001
581,1,1,11,12,4,56.0,1.0,1700,1,3.0,1.6,98.0,39.2,44.0,0.0,9,106.10000000000001
582,1,1,11,12,9,56.0,1.0,1700,1,3.0,3.6,79.0,39.1,30.0,0.0,12,108.10000000000001
583,1,1,11,12,12,56.0,1.0,1700,1,3.0,2.1,94.0,39.4,80.0,0.0,10,106.60000000000001
584,1,1,11,12,5,56.0,1.0,1700,1,3.0,1,104.0,37.9,82.0,230.0,5,105.5
585,1,1,11,12,11,56.0,1.0,1700,1,3.0,2.2,93.0,39.6,82.0,0.0,11,106.7
586,1,1,11,12,10,56.0,1.0,1700,1,3.0,0.5,109.0,37.4,80.0,583.7,3,105.0
587,1,1,11,12,1,58.0,1.0,1700,1,3.0,0.9,105.0,37.8,60.0,350.0,4,105.4
597,1,1,10,11,9,54.0,1.0,2600,1,-9.0,-0.1,87.0,36.6,82.0,1089.4,1,161.10000000000002
598,1,1,10,11,3,54.0,1.0,2600,1,-9.0,0.8,84.0,36.9,80.0,0.0,9,161.9
599,1,1,10,11,8,54.0,1.0,2600,1,-9.0,0.6,84.0,37.3,62.0,0.0,8,161.70000000000002
600,1,1,10,11,2,54.0,1.0,2600,1,-9.0,0.2,88.0,36.3,64.0,106.0,5,161.3
601,1,1,10,11,11,54.0,1.0,2600,1,-9.0,0.2,88.0,36.3,66.0,160.0,4,161.3
602,1,1,10,11,4,57.0,1.0,2600,1,-9.0,0.3,87.0,36.4,66.0,0.0,6,161.4
603,1,1,10,11,7,57.0,1.0,2600,1,-9.0,1.6,77.0,38.4,92.0,0.0,10,162.70000000000002
604,1,1,10,11,5,57.0,1.0,2600,1,-9.0,1.7,77.0,37.9,12.0,0.0,11,162.8
605,1,1,10,11,1,57.0,1.0,2600,1,-9.0,0.5,85.0,36.9,52.0,0.0,7,161.60000000000002
606,1,1,10,11,10,54.0,1.0,2600,1,-9.0,0.1,90.0,35.8,62.0,274.2,3,161.20000000000002
607,1,1,10,11,6,57.0,1.0,2600,1,-9.0,0.1,90.0,35.8,38.0,428.4,2,161.20000000000002
608,1,1,11,12,2,58.0,1.0,2000,1,-9.0,1.4,108.0,33.9,78.0,0.0,8,119.2
609,1,1,11,12,1,58.0,1.0,2000,1,-9.0,1.7,105.0,34.6,50.0,0.0,11,119.50000000000001
610,1,1,11,12,3,58.0,1.0,2000,1,-9.0,1.2,108.0,34.5,96.0,0.0,6,119.00000000000001
611,1,1,11,12,7,56.0,1.0,2000,1,-9.0,0.1,119.0,32.8,64.0,3836.0,3,117.9
612,1,1,11,12,12,58.0,1.0,2000,1,-9.0,1.3,108.0,34.4,92.0,0.0,7,119.10000000000001
613,1,1,11,12,4,58.0,1.0,2000,1,-9.0,2.9,92.0,35.8,50.0,0.0,12,120.7
614,1,1,11,12,5,58.0,1.0,2000,1,-9.0,1.6,106.0,34.5,84.0,0.0,10,119.4
